2016-06-07_12-20-38-706,T,54.193:55.53999999999998,61.49699999999999:62.52399999999998,67.22500000000001:70.24399999999999,75.553:77.29999999999998,87.529:89.508,100.32900000000001:102.02799999999999,120.873:122.08399999999999,138.465:140.09199999999998,150.833:152.61199999999997,169.337:170.49999999999997,182.737:184.26,197.58499999999998:198.87599999999998,208.16899999999998:208.61199999999997,218.393:218.78799999999998,235.47299999999998:235.85999999999999,236.089:236.7,269.641:269.75600000000003,270.305:270.684,276.865:276.964,277.721:278.652,280.14500000000004:280.38,348.689:349.004,349.577:350.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-24_13-24-30-926,B,3.506166666666645:4.163166666666649,10.554166666666644:10.763166666666649,11.010166666666645:11.80316666666665,12.130166666666645:12.20316666666665,17.410166666666647:17.56316666666665,29.874166666666646:48.26716666666665,59.77816666666664:60.539166666666645,69.66616666666665:70.25116666666666,77.21816666666665:78.21916666666665,83.39416666666665:83.87516666666666,88.60216666666665:89.61116666666666,104.59416666666665:106.06716666666665,110.13016666666665:111.57916666666665,113.85016666666665:115.53916666666666,127.87416666666665:128.85916666666665,154.37816666666663:155.13116666666664,164.44216666666665:165.76316666666665,173.54616666666664:174.51516666666663,188.61816666666664:189.72316666666666,204.08216666666664:204.41916666666665,219.31416666666664:220.68316666666664,234.93816666666663:235.82716666666664,255.38616666666664:255.70716666666664,264.7221666666666:265.48316666666665,280.53816666666665:281.1311666666667,282.57016666666664:282.98716666666667,286.4581666666666:286.6591666666667,289.1141666666666:289.8831666666667,316.1141666666666:316.7391666666667,326.37816666666663:329.5871666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13_14-22-05-764,B,3.6181666666666734:4.171666666666667,10.010166666666674:16.235666666666667,42.79416666666667:42.931666666666665,53.65816666666667:55.635666666666665,59.03416666666667:60.88366666666666,79.75416666666668:86.13966666666667,91.91416666666667:91.99566666666668,95.69816666666668:95.77166666666668,96.04216666666667:97.19566666666667,102.58616666666668:102.59566666666667,103.81816666666668:105.89966666666668,107.56216666666668:107.61166666666668,121.00216666666668:124.13166666666667,126.13016666666668:126.79566666666668,131.76216666666667:132.88366666666667,143.57016666666667:144.37966666666665,160.75416666666666:163.45166666666665,183.15416666666667:183.17966666666666,185.37816666666666:185.39566666666667,186.27416666666667:187.54766666666666,194.45016666666666:194.49166666666667,198.09816666666666:200.16366666666667,206.33016666666666:208.13966666666667,213.80216666666666:218.20366666666666,223.27416666666667:232.81966666666665,233.60216666666668:233.77966666666666,246.73816666666667:246.78766666666667,257.0741666666667:257.1476666666667,264.0661666666667:266.04366666666664,276.0821666666667:282.05966666666666,291.8821666666667:294.48366666666664,297.5221666666667:300.11566666666664,316.6501666666667:317.3156666666667,323.7941666666667:323.81166666666667,325.9861666666667:327.01166666666666,329.9541666666667:332.1956666666667,333.2421666666667:333.2676666666667,334.4741666666667:335.69966666666664,337.5301666666667:338.35566666666665,349.2101666666667:350.60366666666664,358.4101666666667:359.69166666666666,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-17_12-13-27-771,T,8.664166666666663:8.738166666666674,9.120166666666664:9.578166666666673,14.464166666666664:14.842166666666673,15.592166666666664:16.394166666666674,18.104166666666664:18.938166666666675,21.464166666666667:22.098166666666675,22.808166666666665:22.954166666666676,24.856166666666667:25.490166666666674,48.90416666666666:49.49816666666667,55.71216666666666:57.282166666666676,69.59216666666667:71.21016666666668,77.72816666666667:78.55416666666667,79.84816666666667:81.89016666666669,84.56816666666667:87.12216666666669,87.72816666666667:87.87416666666668,96.14416666666668:97.22616666666669,105.72816666666667:108.21016666666668,125.13616666666667:125.74616666666668,128.41616666666667:129.45016666666666,137.74416666666664:138.85016666666667,145.60816666666665:146.34616666666668,147.04016666666666:147.61816666666667,159.36816666666667:161.01816666666667,161.37616666666665:163.28216666666665,172.53616666666665:173.41016666666667,179.84016666666665:181.31416666666667,185.94416666666666:187.10616666666667,194.66416666666666:195.60216666666668,196.75216666666665:197.03416666666666,200.25616666666667:200.63416666666666,212.22416666666666:215.11416666666668,215.63216666666665:217.93816666666666,218.57616666666667:219.09016666666668,222.70416666666665:223.81016666666667,228.81616666666665:229.93016666666668,239.58416666666665:240.20216666666667,253.29616666666666:253.38616666666667,260.72016666666667:262.1941666666667,265.20816666666667:266.2021666666667,274.9041666666667:276.45816666666667,285.7121666666667:287.2501666666667,287.7921666666667:288.2581666666667,289.2881666666667:290.1221666666667,292.4401666666667:294.3061666666667,295.0481666666667:295.4981666666667,300.8241666666667:301.8821666666667,304.9121666666667:304.9621666666667,309.0961666666667:310.4261666666667,311.0961666666667:312.8501666666667,313.2641666666667:313.3301666666667,317.8161666666667:320.9301666666667,328.0241666666667:330.0821666666667,340.3761666666667:342.5621666666667,348.2161666666667:348.9781666666667,360.6321666666667:361.0421666666667,,,,,,,,,,
2016-11-02_09-00-13-953,B,1.681333333333341:3.5559999999999823,8.897333333333341:9.827999999999982,12.977333333333341:13.627999999999982,28.809333333333342:30.267999999999983,43.45733333333334:44.24399999999998,53.52933333333334:53.61199999999998,78.51333333333335:80.43599999999999,84.91333333333334:86.31599999999999,113.02533333333335:114.52399999999999,123.00133333333335:124.24399999999999,129.40933333333334:130.91599999999997,136.92933333333335:138.73999999999998,145.69733333333335:147.42799999999997,161.67333333333335:163.236,164.04933333333332:164.47599999999997,165.04933333333332:165.49999999999997,167.64933333333335:168.63599999999997,173.74533333333335:175.19599999999997,190.72933333333333:193.676,209.12133333333333:210.52399999999997,218.56133333333332:220.07599999999996,234.78533333333334:236.03599999999997,252.61733333333333:253.212,263.4893333333334:265.06,287.47333333333336:288.86,326.5613333333334:328.156,355.3613333333334:356.092,379.10533333333336:379.932,384.8573333333334:385.076,387.00933333333336:387.74,402.0013333333334:402.588,409.3613333333334:410.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-24_13-39-49-946,T,1.5688333333333242:1.7226666666666615,4.576833333333324:5.986666666666661,15.528833333333324:16.050666666666665,16.648833333333325:16.994666666666664,18.832833333333326:19.554666666666662,27.200833333333325:27.930666666666664,52.18483333333332:52.69866666666666,54.640833333333326:55.29066666666666,61.68883333333332:62.07466666666666,65.88083333333333:66.45866666666667,69.84083333333334:70.31466666666667,73.76883333333333:74.26666666666667,76.19283333333333:76.69066666666667,79.21683333333333:80.46666666666667,88.67283333333333:89.59466666666667,97.05683333333333:98.13066666666667,104.81683333333334:105.35466666666667,112.38483333333333:113.14666666666668,119.62483333333333:120.25866666666667,125.44883333333333:126.57066666666667,134.5848333333333:136.07466666666664,139.95283333333333:140.91466666666665,147.76083333333332:148.61066666666665,153.5128333333333:155.05066666666664,161.1928333333333:162.45866666666666,175.05683333333332:176.07466666666664,193.59283333333332:194.93066666666667,203.92083333333332:205.18666666666667,219.00083333333333:219.69066666666666,242.36083333333332:242.87466666666666,250.95283333333333:251.52266666666665,255.10483333333332:255.90666666666667,263.09683333333334:265.60266666666666,273.2728333333333:274.09066666666666,279.8648333333333:280.6426666666667,288.0088333333333:288.8586666666667,295.7848333333333:296.2266666666667,300.04883333333333:300.8906666666667,305.1528333333333:305.6666666666667,308.5768333333333:309.3306666666667,320.43283333333335:321.1226666666667,325.5768333333333:326.1226666666667,335.2968333333333:337.1786666666667,345.3288333333333:345.6666666666667,,,,,,,,,,,,,,,,,,,,,
2016-06-27_16-30-46-620,B,14.207999999999991:14.457500000000012,16.71999999999999:17.033500000000014,18.815999999999992:18.873500000000014,23.527999999999995:24.305500000000016,28.655999999999995:28.921500000000016,31.703999999999994:32.449500000000015,38.71999999999999:38.72950000000001,70.392:71.00150000000002,83.44:83.88150000000002,87.96:88.28150000000002,97.80799999999999:98.19350000000001,103.65599999999999:104.72150000000002,111.80799999999999:115.19350000000001,121.208:121.86550000000003,127.496:128.0415,136.016:136.8655,144.576:145.6655,158.92:159.0015,164.136:164.7375,183.98399999999998:184.8255,193.464:194.00150000000002,203.03199999999998:203.8655,219.07199999999997:219.8175,228.768:229.6815,237.30399999999997:237.44150000000002,246.432:251.9935,254.488:254.74550000000002,268.96:269.8095,274.536:275.5855,281.99199999999996:283.28950000000003,291.928:292.1215,298.512:298.6815,299.544:300.6415,305.464:306.1615,310.55199999999996:311.3695,335.15999999999997:336.4735,340.224:341.1215,345.67199999999997:347.1455,351.74399999999997:351.7615,362.55199999999996:362.8095,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-27_14-09-18-253,B,64.20950000000002:64.22416666666668,65.37750000000003:69.12016666666668,69.95350000000002:91.34416666666667,94.24950000000003:94.85616666666667,115.18550000000002:117.29616666666666,126.12950000000002:126.21616666666667,163.20950000000002:163.93616666666665,175.20950000000002:175.44016666666667,202.2895:202.36016666666666,217.5295:217.60016666666667,263.9695:264.0241666666667,268.4015:268.5121666666667,301.0335:307.7681666666667,366.19350000000003:366.5441666666667,369.3935:369.72016666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-29_11-06-57-279,B,2.9444999999999797:3.3933333333333406,8.48049999999998:9.36933333333334,12.33649999999998:12.43333333333334,45.920499999999976:45.98533333333334,56.20849999999998:56.25733333333334,57.23249999999998:59.14533333333334,66.55249999999998:67.24933333333335,73.5045:75.19333333333334,83.23249999999999:87.43333333333335,89.80849999999998:90.12133333333335,92.84849999999999:93.26533333333334,110.84049999999999:112.04933333333335,122.6565:125.26533333333334,149.59249999999997:152.53733333333332,163.75249999999997:164.88933333333333,175.16049999999998:176.08133333333333,210.88849999999996:211.59333333333333,217.59249999999997:219.64133333333334,234.47249999999997:234.47333333333333,238.33649999999997:240.55333333333334,256.88849999999996:259.16133333333335,266.8325:270.0733333333334,275.9765:277.3133333333334,289.2165:292.13733333333334,304.06449999999995:304.64933333333335,313.0245:313.83333333333337,323.2485:324.4173333333334,329.7045:330.8813333333334,345.3605:346.29733333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-02_09-12-07-438,T,1.7399999999999822:2.6759999999999824,3.1639999999999824:3.6999999999999824,22.091999999999985:23.115999999999985,31.259999999999984:32.21199999999998,41.58799999999998:42.34799999999998,42.57199999999998:43.17999999999998,62.39599999999998:63.81199999999998,117.04399999999998:118.05999999999999,118.74:120.38799999999999,124.508:125.24399999999999,130.12399999999997:130.77999999999997,135.98799999999997:138.33199999999997,142.932:145.188,154.77199999999996:156.31599999999997,174.58799999999997:175.28399999999996,180.22799999999998:180.50799999999998,188.38799999999998:188.43599999999998,189.35599999999997:189.66799999999998,191.31599999999997:192.27599999999998,196.98:198.37199999999999,199.20399999999998:199.91599999999997,201.35599999999997:201.932,203.36399999999998:203.772,205.27599999999998:205.59599999999998,218.35599999999997:220.53999999999996,221.004:222.17999999999998,224.61999999999998:225.08399999999997,231.81999999999996:233.492,234.70799999999997:235.05199999999996,237.01199999999997:237.49999999999997,237.98:237.98799999999997,238.45999999999998:240.26,244.57999999999998:245.64399999999998,255.70799999999997:255.77999999999997,257.204:257.244,260.596:261.62,265.916:266.636,275.964:276.26,281.31600000000003:281.82,285.684:287.22,289.644:290.396,292.812:293.34000000000003,293.748:293.956,299.748:300.26,305.452:307.5,308.124:310.54,311.148:311.908,312.516:312.7,314.108:314.164,314.98:316.252,316.964:317.372,321.7:322.444,327.46000000000004:329.108,341.276:342.476,343.012:344.356,345.468:345.484,345.94:346.044,347.964:348.324,349.836:349.932,350.41200000000003:351.676,355.78000000000003:357.092,364.87600000000003:366.604,382.988:384.38800000000003,404.452:405.116,405.524:406.5
